Time[h],X1[g/L],X2[g/L],X3[g/L],S1[g/L],S2[g/L],S3[g/L],P1[g/L],P2[g/L],P3[g/L],F[L/h],V[L]
0,1.08,1.13,0.83,1.24,0.97,0.91,0.03,0.02,0.05,0.051,8
25,2.05,2.33,2.07,0.83,0.73,0.64,0.52,0.67,0.84,0.051,8
50,3.24,3.39,3.26,0.49,0.74,0.75,1.57,1.74,1.61,0.051,8
75,4.04,4.05,4.07,0.54,0.46,0.64,2.9,2.64,2.85,0.051,8
100,4.83,4.95,4.97,0.65,0.64,0.55,4.14,4.33,4.09,0.051,8
125,5.63,5.46,5.45,0.48,0.54,0.64,5.45,5.63,5.44,0.051,8
150,6.06,6.25,6.17,0.57,0.75,0.47,6.96,6.94,7.09,0.025,8
175,6.61,6.73,6.57,0.76,0.56,0.69,8.52,8.53,8.63,0.025,8
200,7.04,7.32,7.33,0.64,0.66,0.63,10.09,10.06,10.23,0.025,8
225,7.35,7.67,7.58,0.33,0.22,0.47,11.97,12.16,12.07,0.025,8
250,7.74,7.82,7.87,0.21,0.25,0.18,14.21,14.34,14.05,0.025,8
275,8.07,7.88,7.96,0.27,0.25,0.43,16.34,16.37,16.42,0.025,8
300,8.07,8.07,8.22,0.19,0.28,0.33,18.06,18.17,18.23,0.075,8
325,8.21,8.03,8.12,0.97,0.87,0.93,17.98,17.92,17.83,0.075,8
350,8.52,8.57,8.73,0.92,1.07,1.03,17.87,17.88,17.77,0.075,8
375,9.09,8.77,9.07,1.02,1,1.07,17.77,17.87,17.77,0.075,8
400,9.16,9.28,8.98,1.06,1.14,0.85,17.82,18.1,18.1,0.125,8
425,9.32,9.29,9.18,1.67,1.54,1.69,16.23,16.13,16.26,0.125,8
450,9.48,9.45,9.37,1.57,1.68,1.45,15.06,15.03,15.3,0.125,8
475,9.8,9.74,9.79,1.67,1.51,1.62,14.36,14.38,14.37,0.125,8
500,10.07,9.92,9.82,1.6,1.78,1.65,13.82,13.93,13.71,0.1,8
525,10.31,10.32,10.19,1.42,1.45,1.48,14.02,14.06,14.29,0.1,8
550,10.27,10.36,10.29,1.5,1.37,1.3,14.54,14.53,14.56,0.1,8
575,10.46,10.23,10.3,1.37,1.47,1.44,14.71,14.82,14.79,0.1,8
600,10.54,10.33,10.3,1.38,1.49,1.44,14.94,14.81,15.03,0.1,8
625,10.15,9.99,9.97,1.92,1.97,1.88,13.82,14.15,14.01,0.1375,8
650,10.15,10.16,10.13,1.96,1.92,1.93,13.35,13.57,13.2,0.1375,8
675,10.23,10.22,10.09,1.73,1.93,1.76,12.75,12.76,12.85,0.1375,8
700,10.24,10.25,10.03,1.89,1.81,1.97,12.47,12.45,12.56,0.1375,8
725,10.3,10.01,10.16,1.89,1.76,1.88,12.27,12.13,12.42,0.1375,8
750,10.2,10.23,10.15,1.86,1.85,1.95,11.84,12.04,12.05,0.1375,8
775,10.3,10.09,10.2,1.96,1.89,1.77,11.89,11.84,11.8,0.15,8
800,10.14,10,10.28,1.84,1.97,1.88,11.74,11.78,11.81,0.15,8
825,9.97,10.03,10.16,1.94,1.95,2.11,11.46,11.58,11.32,0.15,8
850,9.97,9.98,10.08,2.06,1.98,2.13,11.22,11.08,11.1,0.15,8
875,9.83,9.94,9.88,2.08,2.33,2.02,11.01,10.92,10.92,0.15,8
900,9.84,10.01,9.87,1.86,1.97,1.85,10.73,10.85,10.78,0.25,8
